Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HC,AC,HF,AF,HY,AY,HR,AR,Referee,PSCH,PSCD,PSCA,liga,temporada,xG_casa,xG_fora
SP1,2016-10-29,Sp Gijon,Sevilla,1,1,D,3.0,4.0,17.0,9.0,6.0,2.0,0.0,0.0,,4.63,3.82,1.85,La Liga,1617,0.47946,1.288
SP1,2016-10-30,Ath Bilbao,Osasuna,1,1,D,9.0,2.0,10.0,11.0,2.0,1.0,0.0,0.0,,1.45,4.59,8.9,La Liga,1617,1.4373,0.338045
SP1,2016-10-30,Betis,Espanol,0,1,A,8.0,3.0,15.0,15.0,3.0,3.0,0.0,0.0,,2.22,3.41,3.62,La Liga,1617,0.72975,0.750127
SP1,2016-10-30,Eibar,Villarreal,2,1,H,3.0,7.0,16.0,16.0,2.0,3.0,0.0,0.0,,3.13,3.13,2.63,La Liga,1617,1.4571,1.49906
SP1,2016-10-30,Las Palmas,Celta,3,3,D,8.0,1.0,13.0,22.0,2.0,6.0,0.0,1.0,,2.35,3.61,3.14,La Liga,1617,2.07556,1.23697
SP1,2016-10-31,La Coruna,Valencia,1,1,D,5.0,6.0,14.0,21.0,1.0,5.0,0.0,0.0,,3.03,3.41,2.52,La Liga,1617,1.3997,1.03333
SP1,2016-11-04,Malaga,Sp Gijon,3,2,H,9.0,2.0,12.0,20.0,5.0,4.0,0.0,1.0,,1.72,3.89,5.49,La Liga,1617,1.92978,1.27243
SP1,2016-11-05,Granada,La Coruna,1,1,D,7.0,6.0,11.0,7.0,1.0,2.0,0.0,0.0,,2.75,3.21,2.89,La Liga,1617,2.10437,1.71185
SP1,2016-11-05,Las Palmas,Eibar,1,0,H,7.0,4.0,10.0,20.0,1.0,4.0,0.0,0.0,,2.01,3.77,3.87,La Liga,1617,1.59273,0.983024
SP1,2016-11-05,Osasuna,Alaves,0,1,A,3.0,4.0,18.0,10.0,5.0,2.0,0.0,0.0,,2.63,3.08,3.17,La Liga,1617,0.471469,1.62667
SP1,2016-11-05,Sociedad,Ath Madrid,2,0,H,6.0,6.0,18.0,20.0,2.0,4.0,0.0,0.0,,6.03,3.96,1.66,La Liga,1617,1.99325,0.581093
SP1,2016-11-06,Celta,Valencia,2,1,H,4.0,3.0,19.0,15.0,6.0,1.0,0.0,0.0,,2.37,3.55,3.16,La Liga,1617,0.571273,1.44482
SP1,2016-11-06,Espanol,Ath Bilbao,0,0,D,5.0,3.0,13.0,11.0,1.0,2.0,0.0,0.0,,2.64,3.24,3.01,La Liga,1617,0.277247,0.151209
SP1,2016-11-06,Real Madrid,Leganes,3,0,H,2.0,2.0,7.0,20.0,3.0,5.0,0.0,0.0,,1.1,13.9,26.05,La Liga,1617,2.62943,0.273683
SP1,2016-11-06,Sevilla,Barcelona,1,2,A,3.0,5.0,18.0,12.0,4.0,6.0,0.0,0.0,,4.69,4.45,1.72,La Liga,1617,1.54978,2.17981
SP1,2016-11-06,Villarreal,Betis,2,0,H,10.0,1.0,16.0,12.0,0.0,2.0,0.0,0.0,,1.65,3.97,6.18,La Liga,1617,1.38858,0.28961
SP1,2016-11-18,Betis,Las Palmas,2,0,H,4.0,5.0,22.0,10.0,0.0,1.0,0.0,0.0,,2.37,3.53,3.17,La Liga,1617,0.590307,0.358719
SP1,2016-11-19,Ath Madrid,Real Madrid,0,3,A,8.0,6.0,21.0,14.0,4.0,2.0,0.0,0.0,,2.39,3.38,3.27,La Liga,1617,1.0815,2.03273
SP1,2016-11-19,Barcelona,Malaga,0,0,D,14.0,1.0,13.0,12.0,0.0,2.0,0.0,2.0,,1.21,7.65,16.5,La Liga,1617,1.44819,0.55807
SP1,2016-11-19,Eibar,Celta,1,0,H,7.0,0.0,11.0,13.0,2.0,5.0,0.0,2.0,,2.15,3.38,3.86,La Liga,1617,0.911921,0.589399
SP1,2016-11-19,La Coruna,Sevilla,2,3,A,3.0,14.0,15.0,12.0,3.0,2.0,0.0,0.0,,3.38,3.47,2.3,La Liga,1617,0.382392,2.28865
SP1,2016-11-20,Alaves,Espanol,0,1,A,2.0,5.0,20.0,14.0,5.0,2.0,0.0,0.0,,2.77,3.07,3.0,La Liga,1617,0.570571,1.26246
SP1,2016-11-20,Ath Bilbao,Villarreal,1,0,H,6.0,5.0,13.0,17.0,0.0,2.0,0.0,0.0,,2.2,3.23,3.9,La Liga,1617,2.15189,0.173272
SP1,2016-11-20,Sp Gijon,Sociedad,1,3,A,3.0,5.0,17.0,9.0,2.0,1.0,0.0,0.0,,3.73,3.49,2.15,La Liga,1617,0.197028,2.1535
SP1,2016-11-20,Valencia,Granada,1,1,D,11.0,2.0,7.0,18.0,1.0,5.0,0.0,0.0,,1.4,5.18,9.02,La Liga,1617,1.58094,0.622946
SP1,2016-11-21,Leganes,Osasuna,2,0,H,3.0,2.0,13.0,17.0,2.0,3.0,0.0,0.0,,1.91,3.48,4.82,La Liga,1617,1.6402,0.164701
SP1,2016-11-25,Eibar,Betis,3,1,H,5.0,1.0,11.0,7.0,0.0,1.0,0.0,1.0,,2.15,3.42,3.82,La Liga,1617,2.55337,0.347362
SP1,2016-11-26,Espanol,Leganes,3,0,H,3.0,4.0,19.0,16.0,1.0,2.0,0.0,0.0,,2.0,3.27,4.67,La Liga,1617,1.21595,0.205225
SP1,2016-11-26,Malaga,La Coruna,4,3,H,2.0,5.0,15.0,13.0,3.0,1.0,0.0,0.0,,1.91,3.79,4.3,La Liga,1617,1.28044,2.70531
SP1,2016-11-26,Real Madrid,Sp Gijon,2,1,H,5.0,6.0,19.0,18.0,1.0,3.0,0.0,0.0,,1.1,13.75,24.75,La Liga,1617,2.90122,1.46445
SP1,2016-11-26,Sevilla,Valencia,2,1,H,3.0,6.0,19.0,14.0,0.0,1.0,0.0,0.0,,1.77,4.07,4.78,La Liga,1617,0.217327,0.481054
SP1,2016-11-27,Celta,Granada,3,1,H,5.0,0.0,4.0,15.0,0.0,3.0,0.0,0.0,,1.64,3.89,6.49,La Liga,1617,2.10383,0.761557
SP1,2016-11-27,Osasuna,Ath Madrid,0,3,A,7.0,4.0,9.0,6.0,2.0,2.0,0.0,0.0,,11.85,5.3,1.34,La Liga,1617,1.15264,1.48301
SP1,2016-11-27,Sociedad,Barcelona,1,1,D,8.0,6.0,16.0,11.0,2.0,4.0,0.0,0.0,,6.85,5.04,1.48,La Liga,1617,1.0404,0.648004
SP1,2016-11-27,Villarreal,Alaves,0,2,A,12.0,1.0,11.0,19.0,2.0,3.0,0.0,0.0,,1.56,3.95,7.83,La Liga,1617,1.92523,1.58373
SP1,2016-11-28,Las Palmas,Ath Bilbao,3,1,H,5.0,3.0,19.0,21.0,3.0,4.0,0.0,1.0,,2.96,3.31,2.63,La Liga,1617,1.05931,1.73341
SP1,2016-12-03,Ath Madrid,Espanol,0,0,D,9.0,2.0,10.0,19.0,2.0,2.0,0.0,0.0,,1.27,5.92,15.0,La Liga,1617,0.576659,0.806691
SP1,2016-12-03,Barcelona,Real Madrid,1,1,D,5.0,7.0,19.0,16.0,4.0,2.0,0.0,0.0,,1.72,4.48,4.64,La Liga,1617,1.73984,1.35909
SP1,2016-12-03,Granada,Sevilla,2,1,H,4.0,8.0,18.0,16.0,5.0,2.0,0.0,0.0,,5.46,4.08,1.69,La Liga,1617,1.90921,1.92504
SP1,2016-12-03,Leganes,Villarreal,0,0,D,2.0,4.0,21.0,16.0,6.0,3.0,0.0,0.0,,3.21,3.01,2.66,La Liga,1617,0.679532,0.296192
SP1,2016-12-04,Alaves,Las Palmas,1,1,D,3.0,5.0,15.0,11.0,3.0,3.0,0.0,0.0,,2.33,3.48,3.29,La Liga,1617,1.0718,0.495163
SP1,2016-12-04,Ath Bilbao,Eibar,3,1,H,2.0,2.0,9.0,16.0,1.0,4.0,0.0,0.0,,1.92,3.36,4.98,La Liga,1617,1.4438,0.988471
SP1,2016-12-04,Betis,Celta,3,3,D,4.0,3.0,22.0,14.0,4.0,1.0,1.0,0.0,,2.8,3.14,2.91,La Liga,1617,2.0817,1.49435
SP1,2016-12-04,Sp Gijon,Osasuna,3,1,H,2.0,5.0,17.0,13.0,3.0,1.0,0.0,0.0,,1.86,3.59,4.88,La Liga,1617,1.12982,1.15825
SP1,2016-12-04,Valencia,Malaga,2,2,D,2.0,13.0,16.0,7.0,5.0,1.0,0.0,0.0,,1.63,4.3,5.74,La Liga,1617,0.524646,0.849918
SP1,2016-12-05,La Coruna,Sociedad,5,1,H,8.0,6.0,15.0,10.0,1.0,4.0,0.0,0.0,,3.25,3.38,2.4,La Liga,1617,2.21106,0.569103
SP1,2016-12-09,Malaga,Granada,1,1,D,6.0,2.0,16.0,14.0,3.0,5.0,0.0,0.0,,1.67,4.13,5.64,La Liga,1617,2.80255,0.963052
SP1,2016-12-10,Las Palmas,Leganes,1,1,D,6.0,4.0,17.0,18.0,3.0,3.0,0.0,0.0,,1.83,3.64,4.99,La Liga,1617,0.889018,1.26322
SP1,2016-12-10,Osasuna,Barcelona,0,3,A,2.0,5.0,18.0,6.0,3.0,0.0,0.0,0.0,,25.65,10.05,1.13,La Liga,1617,0.146912,3.17169
SP1,2016-12-10,Real Madrid,La Coruna,3,2,H,10.0,3.0,16.0,17.0,3.0,4.0,0.0,0.0,,1.24,6.86,14.85,La Liga,1617,1.17016,0.648444
SP1,2016-12-10,Sociedad,Valencia,3,2,H,8.0,4.0,17.0,20.0,4.0,4.0,0.0,1.0,,1.93,3.81,4.18,La Liga,1617,2.70322,1.58335
SP1,2016-12-11,Betis,Ath Bilbao,1,0,H,3.0,7.0,14.0,12.0,3.0,2.0,0.0,0.0,,3.53,3.22,2.35,La Liga,1617,0.684846,0.562742
SP1,2016-12-11,Celta,Sevilla,0,3,A,4.0,6.0,13.0,13.0,3.0,3.0,0.0,0.0,,2.76,3.51,2.69,La Liga,1617,0.710134,2.58541
SP1,2016-12-11,Eibar,Alaves,0,0,D,7.0,2.0,14.0,7.0,1.0,1.0,0.0,0.0,,1.98,3.47,4.41,La Liga,1617,0.482454,0.263174
