Date,liga,HomeTeam,AwayTeam,FTR,prob_casa_modelo,prob_empate_modelo,prob_fora_modelo,prob_casa_odds,prob_empate_odds,prob_fora_odds,data_corte_modelo
2024-05-04,La Liga,Sociedad,Las Palmas,H,0.659256633523679,0.26290650162927887,0.07783686484704198,0.7187036071760832,0.1906188349091773,0.09067755791473948,2024-05-03
2024-05-04,La Liga,Real Madrid,Cadiz,H,0.7911682041312149,0.1610477920272479,0.047784003841537116,0.7108396847018602,0.192195222901497,0.0969650923966429,2024-05-03
2024-05-04,La Liga,Girona,Barcelona,H,0.27457545909399955,0.2635462803617751,0.4618782605442254,0.33214601129421767,0.2501768157048992,0.41767717300088325,2024-05-03
2024-05-04,La Liga,Mallorca,Ath Madrid,A,0.24510437187715178,0.3439336308107121,0.41096199731213623,0.24951076320939342,0.31800391389432486,0.43248532289628183,2024-05-03
2024-05-05,La Liga,Vallecano,Almeria,A,0.561492909390174,0.2756081486613862,0.16289894194843973,0.5817778347669305,0.24472770379364578,0.17349446143942387,2024-05-03
2024-05-05,La Liga,Sevilla,Granada,H,0.5592440537464073,0.2845061899417993,0.15624975631179364,0.5637604228624015,0.2461086109957691,0.1901309661418295,2024-05-03
2024-05-05,La Liga,Osasuna,Betis,A,0.34528783016866393,0.3412886773948735,0.3134234924364625,0.284325637910085,0.3001215066828676,0.41555285540704745,2024-05-03
2024-05-05,La Liga,Celta,Villarreal,H,0.3776977854297988,0.3060155087479945,0.31628670582220664,0.34262481103516923,0.26659026392873436,0.3907849250360965,2024-05-03
2024-05-05,La Liga,Valencia,Alaves,A,0.44714909221042803,0.3380519609975028,0.21479894679206937,0.4360587078051237,0.31267232103068354,0.25126897116419267,2024-05-03
2024-05-10,La Liga,Alaves,Girona,D,0.3646288840458358,0.30408347652391227,0.331287639430252,0.3049469457459064,0.2665152758710798,0.4285377783830138,2024-05-03
2024-05-11,La Liga,Mallorca,Las Palmas,H,0.5025590439854974,0.34732570085520326,0.15011525515929944,0.5908883784512662,0.27452037979038996,0.13459124175834397,2024-05-03
2024-05-11,La Liga,Villarreal,Sevilla,H,0.533725894255115,0.27519259812122265,0.1910815076236627,0.48179684515037396,0.2508323781452978,0.26737077670432835,2024-05-03
2024-05-11,La Liga,Granada,Real Madrid,A,0.14777304578896103,0.26103233648796875,0.5911946177230704,0.16798067379538945,0.21070619299986895,0.6213131332047417,2024-05-03
2024-05-11,La Liga,Ath Bilbao,Osasuna,D,0.6072540261790463,0.28608229552873804,0.10666367829221543,0.6855448999055848,0.21151385314373622,0.10294124695067886,2024-05-03
2024-05-12,La Liga,Cadiz,Getafe,H,0.3657622855578003,0.3628961722102806,0.2713415422319192,0.45661544524633085,0.30204686284928095,0.24133769190438825,2024-05-03
2024-05-12,La Liga,Ath Madrid,Celta,H,0.6421393709969665,0.24453036563306108,0.11333026336997244,0.6972768760665105,0.19041549267828087,0.11230763125520851,2024-05-03
2024-05-12,La Liga,Valencia,Vallecano,D,0.3920966354385038,0.3564821909538575,0.2514211736076387,0.4265521869426927,0.31271350039528595,0.2607343126620213,2024-05-03
2024-05-12,La Liga,Betis,Almeria,H,0.6217166956532749,0.236395423442997,0.14188788090372825,0.7066381156316915,0.17601713062098498,0.11734475374732332,2024-05-03
2024-05-13,La Liga,Barcelona,Sociedad,H,0.5730599264361615,0.27681863093804715,0.1501214426257914,0.5608028569726642,0.244380086287836,0.19481705673949976,2024-05-03
2024-05-14,La Liga,Girona,Villarreal,A,0.4658323728870966,0.2587855429040789,0.27538208420882465,0.563713349844212,0.21642566110090275,0.21986098905488535,2024-05-03
2024-05-14,La Liga,Real Madrid,Alaves,H,0.758677880180503,0.18125087488794583,0.0600712449315513,0.8020563126773725,0.12953803165717995,0.06840565566544754,2024-05-03
2024-05-14,La Liga,Osasuna,Mallorca,D,0.38497158660142844,0.36790940994746446,0.24711900345110704,0.3517419936711321,0.3359742491272538,0.31228375720161405,2024-05-03
2024-05-15,La Liga,Sevilla,Cadiz,A,0.5451110323512169,0.2977278495577717,0.15716111809101135,0.4440334232744364,0.2843371920967882,0.2716293846287753,2024-05-03
2024-05-15,La Liga,Vallecano,Granada,H,0.525803357625216,0.3089905144679024,0.16520612790688163,0.6245106458916562,0.22992672235916084,0.14556263174918302,2024-05-03
2024-05-15,La Liga,Celta,Ath Bilbao,H,0.2929709032967468,0.356913482077881,0.35011561462537216,0.4234713901703928,0.30061240660243926,0.2759162032271681,2024-05-03
2024-05-15,La Liga,Getafe,Ath Madrid,A,0.24716245590864794,0.33927974112739023,0.4135578029639618,0.19019624794674506,0.25866689720757324,0.5511368548456816,2024-05-03
2024-05-16,La Liga,Las Palmas,Betis,D,0.26291223186913565,0.35564687735884076,0.3814408907720236,0.30049261083743845,0.30049261083743845,0.3990147783251232,2024-05-03
2024-05-16,La Liga,Almeria,Barcelona,A,0.1512013495896127,0.22538003875684243,0.623418611653545,0.13553713489395428,0.17716462787783785,0.6872982372282079,2024-05-03
2024-05-16,La Liga,Sociedad,Valencia,H,0.5751206963137827,0.29716666886502463,0.12771263482119266,0.6591807608392526,0.2258731278400236,0.11494611132072377,2024-05-03
2024-05-18,La Liga,Alaves,Getafe,H,0.4031222559031653,0.3564793867361174,0.24039835736071713,0.48810545902805846,0.2865279833232556,0.22536655764868596,2024-05-03
2024-05-19,La Liga,Mallorca,Almeria,D,0.5155364122280829,0.29873550528249837,0.18572808248941874,0.6983045673807159,0.2052100102873562,0.09648542233192792,2024-05-03
2024-05-19,La Liga,Villarreal,Real Madrid,D,0.2865201242263508,0.28461160865358776,0.42886826712006143,0.32207690806168265,0.24562430867330343,0.432298783265014,2024-05-03
2024-05-19,La Liga,Valencia,Girona,A,0.3832179329848664,0.3058086283691565,0.3109734386459771,0.24393002814577242,0.25820252979259956,0.4978674420616279,2024-05-03
2024-05-19,La Liga,Granada,Celta,A,0.3613791455712306,0.3319446626057676,0.3066761918230018,0.24142430178385652,0.29305419764727164,0.46552150056887176,2024-05-03
2024-05-19,La Liga,Cadiz,Las Palmas,D,0.46610698460757277,0.3489961586747008,0.18489685671772635,0.5037779084753063,0.2834668697834813,0.21275522174121247,2024-05-03
2024-05-19,La Liga,Betis,Sociedad,A,0.34502561366226686,0.34457983616104326,0.3103945501766902,0.28045074942010284,0.3190701968812318,0.4004790536986653,2024-05-03
2024-05-19,La Liga,Barcelona,Vallecano,H,0.6995907990079225,0.2163589752927939,0.08405022569928362,0.7432524566838103,0.15944359631830915,0.09730394699788052,2024-05-03
2024-05-19,La Liga,Ath Madrid,Osasuna,A,0.6802720674268051,0.2317676621425282,0.08796027043066668,0.7399275954688777,0.16828214410837322,0.09179026042274903,2024-05-03
2024-05-19,La Liga,Ath Bilbao,Sevilla,H,0.546774233104861,0.30609460386726867,0.1471311630278705,0.620674583273905,0.22465251737988212,0.15467289934621276,2024-05-03
2024-05-24,La Liga,Girona,Granada,H,0.635040350795108,0.22910404471527396,0.13585560448961798,0.7907618618799612,0.1272730173474344,0.0819651207726043,2024-05-03
2024-05-25,La Liga,Osasuna,Villarreal,D,0.3146764622149252,0.3202426689366843,0.36508086884839047,0.377199289223995,0.25277251070075507,0.3700282000752499,2024-05-03
2024-05-25,La Liga,Sociedad,Ath Madrid,A,0.3917235259861383,0.3384389347870917,0.26983753922677,0.3618338573109341,0.29054718691534703,0.3476189557737188,2024-05-03
2024-05-25,La Liga,Almeria,Cadiz,H,0.45488693496097377,0.30094754654969913,0.2441655184893271,0.4379072127819794,0.25924106996693186,0.3028517172510886,2024-05-03
2024-05-25,La Liga,Vallecano,Ath Bilbao,A,0.29304041774750444,0.37375280375592823,0.3332067784965674,0.29580746223988424,0.300372392212722,0.40382014554739387,2024-05-03
2024-05-25,La Liga,Real Madrid,Betis,D,0.7019687805379926,0.2069634806923497,0.09106773876965756,0.8011652093335042,0.11957689691544841,0.0792578937510474,2024-05-03
2024-05-26,La Liga,Las Palmas,Alaves,D,0.32464386714395577,0.3751470449298276,0.30020908792621664,0.4093628634407474,0.2783667471397082,0.31227038941954444,2024-05-03
2024-05-26,La Liga,Sevilla,Barcelona,A,0.23687781390269222,0.2969856311880866,0.46613655490922123,0.20507497754128945,0.22095777762421395,0.5739672448344966,2024-05-03
2024-05-26,La Liga,Getafe,Mallorca,A,0.4074266673795477,0.3703410388208768,0.22223229379957543,0.4037609657003862,0.31088304387793314,0.2853559904216806,2024-05-03
2024-05-26,La Liga,Celta,Valencia,D,0.4587082985346497,0.32788279308600493,0.21340890837934545,0.5087681175871542,0.2570759535956256,0.23415592881722033,2024-05-03
2024-08-15,La Liga,Ath Bilbao,Getafe,D,0.5540198525861709,0.31561350828837115,0.1303666391254579,0.6030649276556632,0.2617074214354765,0.13522765090886044,2024-08-15
2024-08-15,La Liga,Betis,Girona,D,0.4601587937350422,0.27303648724294366,0.26680471902201436,0.41369865072536194,0.2834378510800584,0.3028634981945796,2024-08-15
2024-08-16,La Liga,Celta,Alaves,H,0.4816337807078591,0.31516923004651215,0.2031969892456287,0.4524494652187677,0.29748206428756896,0.2500684704936634,2024-08-15
2024-08-16,La Liga,Las Palmas,Sevilla,D,0.3056509889826756,0.3626450582679006,0.3317039527494237,0.36767119056352443,0.29979343230564304,0.33253537713083264,2024-08-15
2024-08-17,La Liga,Osasuna,Leganes,D,0.35652824755126983,0.40084356761946904,0.24262818482926113,0.5166875083467893,0.29615015722315974,0.18716233443005084,2024-08-15
2024-08-17,La Liga,Valencia,Barcelona,A,0.2086634081450515,0.29671441864448705,0.4946221732104614,0.2279323555589954,0.2610193103982044,0.5110483340428003,2024-08-15
2024-08-18,La Liga,Sociedad,Vallecano,A,0.5099602391237884,0.3275273276533067,0.1625124332229049,0.5411609917655332,0.2882970759703287,0.17054193226413814,2024-08-15
2024-08-18,La Liga,Mallorca,Real Madrid,D,0.19527119329236878,0.3280431210482098,0.4766856856594215,0.10343472451465849,0.20576907961958657,0.6907961958657549,2024-08-15
2024-08-19,La Liga,Valladolid,Espanol,H,0.3655284522602344,0.3267529233446179,0.3077186243951476,0.41744637761207765,0.32859799318788546,0.2539556292000368,2024-08-15
2024-08-19,La Liga,Villarreal,Ath Madrid,D,0.3422358364584716,0.30053942072556755,0.35722474281596095,0.27657742962899207,0.2727037961607989,0.4507187742102092,2024-08-15
2024-08-23,La Liga,Sevilla,Villarreal,A,0.41401472218526836,0.29864154320226605,0.2873437346124657,0.4396613050917329,0.26767258519358944,0.29266610971467766,2024-08-15
2024-08-23,La Liga,Celta,Valencia,H,0.47069237227418065,0.32224011360137766,0.20706751412444163,0.44645903590557434,0.28541955961118826,0.2681214044832375,2024-08-15
2024-08-24,La Liga,Getafe,Vallecano,D,0.369899894295636,0.3678268654816242,0.2622732402227398,0.3553065718811575,0.3514584862651161,0.2932349418537264,2024-08-15
2024-08-24,La Liga,Espanol,Sociedad,A,0.2735298899251746,0.3398978417571894,0.38657226831763586,0.24932830646559195,0.31266250650025995,0.43800918703414793,2024-08-15
2024-08-24,La Liga,Osasuna,Mallorca,H,0.37012427932606806,0.3823653963845269,0.2475103242894053,0.40070248324048724,0.3202983665376264,0.27899915022188654,2024-08-15
2024-08-24,La Liga,Barcelona,Ath Bilbao,H,0.5693597320351518,0.2805208976241874,0.15011937034066078,0.6056894508099566,0.22125642038719878,0.17305412880284474,2024-08-15
2024-08-25,La Liga,Real Madrid,Valladolid,H,0.8410813065361434,0.12528783081846165,0.03363086264539517,0.8513215338303204,0.1004665164147583,0.048211949754921275,2024-08-15
